u_axi_decoder.rd_state\[2\],14.885µm
_0230_,14.88µm
_0374_,14.76µm
u_vga_controller.H_count\[2\],14.72µm
net82,14.71µm
net135,14.63µm
_0274_,14.6µm
_0270_,14.56µm
net17,14.38µm
_0394_,14.34µm
u_vga_controller.V_count\[12\],14.34µm
pcRegister[3],14.21µm
_0126_,14.1µm
net164,14.02µm
_0332_,13.96µm
net137,13.95µm
net144,13.95µm
_0359_,13.64µm
net155,13.625µm
u_data_memory.w_latched,13.28µm
net140,13.27µm
pcRegister[22],13.25µm
_0211_,13.22µm
pcRegister[10],13.17µm
net2,13.16µm
net171,13.04µm
_0392_,13µm
net147,12.97µm
_0272_,12.88µm
net72,12.865µm
_0146_,12.86µm
net79,12.795µm
net86,12.67µm
net102,12.63µm
u_axi_decoder.s0_arvalid_reg,12.62µm
net169,12.62µm
net142,12.59µm
_0354_,12.58µm
net64,12.495µm
net65,12.495µm
net66,12.495µm
net67,12.495µm
net68,12.495µm
net69,12.495µm
net70,12.495µm
net73,12.495µm
net74,12.495µm
net75,12.495µm
net76,12.495µm
net77,12.495µm
net,12.495µm
u_axi_decoder.wr_target_owner\[1\],12.46µm
_0191_,12.44µm
pcRegister[9],12.43µm
_0183_,12.32µm
pcRegister[20],12.29µm
net130,12.27µm
_0301_,12.1µm
_0127_,12.085µm
s1_axi_bvalid,12.08µm
net106,11.95µm
net139,11.95µm
net71,11.94µm
net129,11.91µm
u_axi_decoder.w_latched,11.84µm
_0401_,11.82µm
_0294_,11.78µm
net206,11.78µm
_0303_,11.7µm
net81,11.63µm
net96,11.61µm
cpu_stall,11.6µm
u_vga_controller.H_count\[15\],11.58µm
_0387_,11.56µm
_0002_,11.54µm
_0216_,11.505µm
_0393_,11.5µm
_0267_,11.48µm
_0153_,11.42µm
net104,11.29µm
net84,11.29µm
net115,11.29µm
_0194_,11.28µm
net92,11.27µm
net113,11.27µm
net80,11.25µm
_0326_,11.24µm
net224,11.24µm
net118,11.23µm
net146,11.21µm
_0001_,11.18µm
net105,11.17µm
_0324_,11.16µm
net239,11.12µm
_0240_,10.92µm
net143,10.91µm
_0239_,10.9µm
_0311_,10.89µm
_0307_,10.86µm
net156,10.86µm
net196,10.78µm
u_axi_decoder.s1_arvalid_reg,10.72µm
_0167_,10.7µm
net1,10.7µm
_0189_,10.66µm
_0383_,10.66µm
net30,10.66µm
net132,10.59µm
net116,10.59µm
net119,10.57µm
net107,10.55µm
net120,10.55µm
pcRegister[16],10.53µm
pcRegister[29],10.53µm
pcRegister[30],10.53µm
_0263_,10.5µm
pcRegister[26],10.49µm
_0244_,10.4µm
_0196_,10.36µm
_0251_,10.36µm
_0369_,10.28µm
_0222_,10.26µm
pcRegister[15],10.25µm
_0279_,10.24µm
_0207_,10.235µm
_0339_,10.14µm
u_vga_registers.aw_latched,10.12µm
net117,10.11µm
u_vga_registers.rd_state\[0\],9.98µm
u_vga_registers.wr_state\[1\],9.92µm
net138,9.91µm
_0202_,9.9µm
net141,9.89µm
net145,9.89µm
net127,9.87µm
_0232_,9.82µm
_0248_,9.8µm
_0257_,9.58µm
_0262_,9.58µm
_0085_,9.57µm
pcRegister[19],9.57µm
_0054_,9.55µm
net95,9.55µm
net103,9.55µm
net124,9.55µm
net128,9.55µm
_0158_,9.48µm
net34,9.48µm
_0145_,9.405µm
_0349_,9.36µm
_0225_,9.3µm
net123,9.19µm
net208,9.17µm
_0000_,9.04µm
_0366_,9.02µm
_0368_,9.02µm
_0052_,8.94µm
_0317_,8.9µm
_0110_,8.85µm
_0344_,8.84µm
_0027_,8.82µm
_0399_,8.66µm
_0142_,8.6µm
_0050_,8.58µm
_0221_,8.54µm
net93,8.53µm
net98,8.53µm
net100,8.53µm
net108,8.53µm
net110,8.53µm
net114,8.53µm
net126,8.53µm
net122,8.53µm
net99,8.51µm
net111,8.51µm
net125,8.51µm
net121,8.51µm
_0283_,8.44µm
_0082_,8.37µm
_0138_,8.325µm
_0108_,8.28µm
_0163_,8.2µm
_0176_,8.2µm
_0266_,8.16µm
net168,8.14µm
_0091_,8.09µm
net134,8.07µm
net216,8.02µm
_0175_,7.98µm
_0309_,7.98µm
net174,7.94µm
_0130_,7.905µm
net161,7.86µm
net231,7.84µm
net97,7.83µm
net101,7.83µm
net109,7.83µm
reset,7.83µm
_0026_,7.78µm
_0287_,7.74µm
_0227_,7.7µm
_0291_,7.66µm
_0099_,7.6µm
_0045_,7.55µm
_0019_,7.54µm
pcRegister[13],7.53µm
