Metric,Value
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79992
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000835674
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000880003
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000013641
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000880003
design_powergrid__voltage__worst,0.0000880003
design_powergrid__voltage__worst__net:VPWR,1.79992
design_powergrid__drop__worst,0.0000880003
design_powergrid__drop__worst__net:VPWR,0.0000835674
design_powergrid__voltage__worst__net:VGND,0.0000880003
design_powergrid__drop__worst__net:VGND,0.0000880003
ir__voltage__worst,1.8
ir__drop__avg,0.0000134
ir__drop__worst,0.0000836
